msa.fips,msa.name,city.state,city,state,lat,lon,vwci,reqtotal,rebtotal
10420,"Akron, OH Metro Area","Akron, OH",Akron,OH,41.0814447,-81.51900529999999,12,3,1
10580,"Albany-Schenectady-Troy, NY Metro Area","Albany, NY",Albany,NY,42.6525793,-73.7562317,13,2,1
10740,"Albuquerque, NM Metro Area","Albuquerque, NM",Albuquerque,NM,35.0853336,-106.6055534,45,19,12
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown, PA",Allentown,PA,40.6084305,-75.4901833,10,2,0
11100,"Amarillo, TX Metro Area","Amarillo, TX",Amarillo,TX,35.2219971,-101.8312969,17,6,2
11260,"Anchorage, AK Metro Area","Anchorage, AK",Anchorage,AK,61.2180556,-149.9002778,3,0,0
11460,"Ann Arbor, MI Metro Area","Ann Arbor, MI",Ann Arbor,MI,42.2808256,-83.7430378,8,2,0
11540,"Appleton, WI Metro Area","Appleton, WI",Appleton,WI,44.2619309,-88.41538469999999,6,2,0
11700,"Asheville, NC Metro Area","Asheville, NC",Asheville,NC,35.5950581,-82.5514869,14,0,1
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta, GA",Atlanta,GA,33.7489954,-84.3879824,23,8,3
12100,"Atlantic City-Hammonton, NJ Metro Area","Atlantic City, NJ",Atlantic City,NJ,39.3642834,-74.4229266,15,6,0
12260,"Augusta-Richmond County, GA-SC Metro Area","Augusta, GA",Augusta,GA,33.4734978,-82.0105148,21,8,2
12420,"Austin-Round Rock, TX Metro Area","Austin, TX",Austin,TX,30.267153,-97.7430608,47,19,11
12540,"Bakersfield, CA Metro Area","Bakersfield, CA",Bakersfield,CA,35.3732921,-119.0187125,23,7,5
12580,"Baltimore-Columbia-Towson, MD Metro Area","Baltimore, MD",Baltimore,MD,39.2903848,-76.6121893,12,0,4
12940,"Baton Rouge, LA Metro Area","Baton Rouge, LA",Baton Rouge,LA,30.4582829,-91.1403196,3,1,0
13140,"Beaumont-Port Arthur, TX Metro Area","Beaumont, TX",Beaumont,TX,30.080174,-94.1265562,12,2,0
13780,"Binghamton, NY Metro Area","Binghamton, NY",Binghamton,NY,42.09868669999999,-75.91797380000001,13,4,0
14260,"Boise City, ID Metro Area","Boise, ID",Boise,ID,43.6187102,-116.2146068,13,2,3
14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",Boston,MA,42.3600825,-71.0588801,20,5,2
14500,"Boulder, CO Metro Area","Boulder, CO",Boulder,CO,40.0149856,-105.2705456,24,4,6
14740,"Bremerton-Silverdale, WA Metro Area","Bremerton, WA",Bremerton,WA,47.5650067,-122.6269768,12,4,0
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport, CT",Bridgeport,CT,41.1865478,-73.19517669999999,12,2,2
15180,"Brownsville-Harlingen, TX Metro Area","Brownsville, TX",Brownsville,TX,25.9017472,-97.4974838,13,0,2
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo, NY",Buffalo,NY,42.88644679999999,-78.8783689,12,4,0
15940,"Canton-Massillon, OH Metro Area","Canton, OH",Canton,OH,40.79894729999999,-81.378447,15,2,4
15980,"Cape Coral-Fort Myers, FL Metro Area","Cape Coral, FL",Cape Coral,FL,26.5628537,-81.9495331,21,6,2
16300,"Cedar Rapids, IA Metro Area","Cedar Rapids, IA",Cedar Rapids,IA,41.9778795,-91.6656232,17,4,6
16580,"Champaign-Urbana, IL Metro Area","Champaign, IL",Champaign,IL,40.1164204,-88.2433829,11,4,0
16700,"Charleston-North Charleston, SC Metro Area","Charleston, SC",Charleston,SC,32.7764749,-79.93105120000001,12,4,1
16620,"Charleston, WV Metro Area","Charleston, WV",Charleston,WV,38.3498195,-81.6326234,8,2,0
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte, NC",Charlotte,NC,35.2270869,-80.8431267,16,0,1
16820,"Charlottesville, VA Metro Area","Charlottesville, VA",Charlottesville,VA,38.0293059,-78.47667810000002,20,4,4
16860,"Chattanooga, TN-GA Metro Area","Chattanooga, TN",Chattanooga,TN,35.0456297,-85.3096801,11,2,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago, IL",Chicago,IL,41.8781136,-87.6297982,14,4,1
17020,"Chico, CA Metro Area","Chico, CA",Chico,CA,39.7284944,-121.8374777,19,2,6
17140,"Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH",Cincinnati,OH,39.1031182,-84.5120196,13,4,0
17300,"Clarksville, TN-KY Metro Area","Clarksville, TN",Clarksville,TN,36.5297706,-87.3594528,7,1,0
17460,"Cleveland-Elyria, OH Metro Area","Cleveland, OH",Cleveland,OH,41.49932,-81.6943605,17,4,1
17780,"College Station-Bryan, TX Metro Area","College Station, TX",College Station,TX,30.627977,-96.3344068,30,12,4
17820,"Colorado Springs, CO Metro Area","Colorado Springs, CO",Colorado Springs,CO,38.8338816,-104.8213634,20,4,4
17900,"Columbia, SC Metro Area","Columbia, SC",Columbia,SC,34.0007104,-81.0348144,13,2,1
17980,"Columbus, GA-AL Metro Area","Columbus, GA",Columbus,GA,32.4609764,-84.9877094,19,7,2
18140,"Columbus, OH Metro Area","Columbus, OH",Columbus,OH,39.9611755,-82.99879419999999,15,0,3
18580,"Corpus Christi, TX Metro Area","Corpus Christi, TX",Corpus Christi,TX,27.8005828,-97.39638099999999,25,9,2
