msa.fips,msa.name,pop,pop.growth,surface.water,dem.share,dem.share.natl,pvi,city,area,pop.dens,pop.dens.growth
10420,"Akron, OH Metro Area",704835,6.093952109505565e-4,0.7099612812390004,0.5730477221029119,0.5282701767821113,4.477754532080058,AkronOH,900.1291693243367,2412.8114023617745,-0.01061156623432254
10580,"Albany-Schenectady-Troy, NY Metro Area",880091,0.002563688700233268,0.7858637014202355,0.5778402922797752,0.5282701767821113,4.9570115497663885,AlbanyNY,2811.5544905999564,2944.903154901712,0.002974539410334146
10740,"Albuquerque, NM Metro Area",904720,0.004206369485909091,0.33798113050012524,0.5809747748351275,0.5282701767821113,5.27045980530162,AlbuquerqueNM,9282.498406170222,3518.603178562292,0.006106308129643119
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",829731,0.002292544372285212,0.4913576805129635,0.5300078251484828,0.5282701767821113,0.17376483663714692,AllentownPA,1453.2150203012523,3889.2804252132005,0.006525010721368815
11100,"Amarillo, TX Metro Area",260987,0.008042164153243091,0,0.20599343397880604,0.5282701767821113,-32.227674280330525,AmarilloTX,3649.2428876118347,2591.389023655661,-0.005707229476910598
11260,"Anchorage, AK Metro Area",398642,0.00989886384296384,0.6877816725087632,0.39748510622024147,0.5282701767821113,-13.078507056186982,AnchorageAK,26312.581047093656,3006.8601472505457,0.002573250124617347
11460,"Ann Arbor, MI Metro Area",357029,0.008160509990022836,0.7633507853403141,0.6947393929341111,0.5282701767821113,16.646921615199982,AnnArborMI,705.9654508051775,3363.47095939395,-0.0069726197369022426
11540,"Appleton, WI Metro Area",231483,0.006054813936839312,0.4771573604060914,0.5141175304947879,0.5282701767821113,-1.4152646287323378,AppletonWI,955.7593031319064,1950.0305860789842,-0.01006299019208937
11700,"Asheville, NC Metro Area",441782,0.009410227602823158,0.9524940617577198,0.50109855538118,0.5282701767821113,-2.7171621400931323,AshevilleNC,2033.0014664160606,728.7341005500658,0.009568180762853862
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5615364,0.014272696636814252,0.985283641026685,0.5099030942662796,0.5282701767821113,-1.8367082515831745,AtlantaGA,8338.541068143944,2172.951418739709,-0.0018376744344342228
12100,"Atlantic City-Hammonton, NJ Metro Area",275499,6.705924858240734e-4,0.08525149190110827,0.5806079986757293,0.5282701767821113,5.233782189361802,AtlanticCityNJ,555.704450754212,3412.3113044090483,-0.005382121252460133
12260,"Augusta-Richmond County, GA-SC Metro Area",583338,0.007292417412137161,0.7423305989437015,0.4599298555061536,0.5282701767821113,-6.834032127595768,AugustaGA,3270.284393595646,1098.6405361805207,-0.0053194928968536
12420,"Austin-Round Rock, TX Metro Area",1943465,0.029430917950214172,0.8639403620873269,0.5543918882597099,0.5282701767821113,2.6121711477598564,AustinTX,4219.890359723674,3131.4547785143986,-0.003999222510074252
12540,"Bakersfield, CA Metro Area",874190,0.009473868159156854,0.25747787610619466,0.4117811130195068,0.5282701767821113,-11.648906376260449,BakersfieldCA,8131.9160930475355,3711.519100406368,0.0021872222506838894
12580,"Baltimore-Columbia-Towson, MD Metro Area",2786853,0.006478610086656627,0.8360286368426791,0.5889995322199283,0.5282701767821113,6.072935543781699,BaltimoreMD,2601.479729249711,5435.7233605025185,-0.008042083833340707
12940,"Baton Rouge, LA Metro Area",825499,0.006501132067615419,0.021642717757672517,0.4325645192145472,0.5282701767821113,-9.57056575675641,BatonRougeLA,4026.9164999992277,1603.2675546419616,-0.0022759915647022613
13140,"Beaumont-Port Arthur, TX Metro Area",405644,0.0012003556782153035,0.6878798712906684,0.39890869581441657,0.5282701767821113,-12.936148096769474,BeaumontTX,2100.531119449202,1711.191138556122,-0.003896863665563311
13780,"Binghamton, NY Metro Area",247446,-0.004018911887636732,0.2724696356275304,0.5136624195114379,0.5282701767821113,-1.4607757270673427,BinghamtonNY,1224.36779629867,2226.072726700567,0.003883859464076372
14260,"Boise City, ID Metro Area",664707,0.01820638066628674,0.1551052221356196,0.40940034932554037,0.5282701767821113,-11.886982745657093,BoiseID,11765.593790782043,2310.233092479575,-0.002700969478908742
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4739385,0.009349764159780545,0.5972075773551977,0.6188559781225078,0.5282701767821113,9.058580134039651,BostonMA,3487.409394174799,7980.114991589604,8.540636242510078e-4
14500,"Boulder, CO Metro Area",313864,0.014661903789233335,0.9975420916799803,0.7244533071454666,0.5282701767821113,19.618313036335532,BoulderCO,726.2892488304965,3650.001085746197,-0.0012723110334249093
14740,"Bremerton-Silverdale, WA Metro Area",254525,0.0027674466003534946,0.31307456588355465,0.5614619365822462,0.5282701767821113,3.319175980013489,BremertonWA,394.9412707703665,1835.8990325548612,-0.006201757266719619
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",945816,0.006988169127663582,0.5990227864286041,0.5726130713698606,0.5282701767821113,4.4342894587749315,BridgeportCT,624.8895504535157,5122.3747201124725,0.003966346861548502
15180,"Brownsville-Harlingen, TX Metro Area",420400,0.00771413791527951,0.9423526909168262,0.6510136735556584,0.5282701767821113,12.274349677354712,BrownsvilleTX,890.9223309142745,2842.9103872975224,-0.008803348042021994
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136642,2.367741158446335e-4,0.9933292595987371,0.571696987985762,0.5282701767821113,4.342681120365066,BuffaloNY,1565.0524431001224,4129.4426121393135,-0.010824531586403677
15940,"Canton-Massillon, OH Metro Area",403847,-2.716137338670769e-4,0.11750920656176767,0.5109265832006211,0.5282701767821113,-1.734359358149018,CantonOH,969.8794002134373,1919.9411400873357,-0.010292524424662646
15980,"Cape Coral-Fort Myers, FL Metro Area",679233,0.022596761440230508,0.04844802102151421,0.43227815804097663,0.5282701767821113,-9.599201874113467,CapeCoralFL,784.5129973575167,1911.3425061349092,-0.005985341012472443
16300,"Cedar Rapids, IA Metro Area",263974,0.005326753106152942,0,0.5869254976347806,0.5282701767821113,5.865532085266933,CedarRapidsIA,2008.7657039337635,1661.3490196441035,-0.012076189668926185
16580,"Champaign-Urbana, IL Metro Area",237579,0.005628402169320622,0,0.5317898553002942,0.5282701767821113,0.35196785181829116,ChampaignIL,1921.0835424720115,4405.213037423186,0.008557537902895268
16620,"Charleston, WV Metro Area",222824,-0.004526283305946882,0.999407758365413,0.46349131274059474,0.5282701767821113,-6.477886404151656,CharlestonWV,2527.7405482187564,1033.6905738658622,-0.006173697327790738
16700,"Charleston-North Charleston, SC Metro Area",726969,0.021337609471727248,0.9474609194339099,0.4831186607110536,0.5282701767821113,-4.515151607105771,CharlestonSC,2588.1782792043823,1925.9778728740448,-0.0016940774680798023
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2379177,0.016898686516156086,0.9625476180285066,0.4830820115371699,0.5282701767821113,-4.51881652449414,CharlotteNC,3085.185207035708,1881.2644871696737,0.007916010454068093
16820,"Charlottesville, VA Metro Area",226860,0.00870805641506607,0.9717514124293787,0.5810513884171228,0.5282701767821113,5.278121163501148,CharlottesvilleVA,1644.0436530980066,2050.7209815721453,0.0035408577288161534
16860,"Chattanooga, TN-GA Metro Area",544197,0.006976772308296538,0.7985895290461392,0.38113263012507853,0.5282701767821113,-14.713754665703277,ChattanoogaTN,2088.9682245632025,1126.836712846521,0.0028315705268983716
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9557294,0.002258110263920504,0.8703783839922454,0.6636285246049758,0.5282701767821113,13.535834782286448,ChicagoIL,7196.805145429245,8613.39479997791,-0.013208357387644462
17020,"Chico, CA Metro Area",224033,0.004567591750079018,0.33473389355742295,0.5008331329737611,0.5282701767821113,-2.7437043808350214,ChicoCA,1636.464430723231,2144.693084537728,9.589405101745332e-4
17140,"Cincinnati, OH-KY-IN Metro Area",2148450,0.003584772622136042,0.5960661017599018,0.42612422570677555,0.5282701767821113,-10.214595107533576,CincinnatiOH,4391.8844500437835,2563.6414076982796,-0.011105679830715306
17300,"Clarksville, TN-KY Metro Area",277894,0.015018831898491883,0.9032949370479507,0.4267283796920808,0.5282701767821113,-10.154179709003053,ClarksvilleTN,2157.443606302423,1151.7541762999676,0.0014629162735956868
17460,"Cleveland-Elyria, OH Metro Area",2064079,-0.001398883772817255,0.9859924725904107,0.6253682520356707,0.5282701767821113,9.70980752535594,ClevelandOH,1997.3066886796387,3808.389841771486,-0.01848702361846345
17780,"College Station-Bryan, TX Metro Area",242919,0.014235669729623158,0.002994908655286014,0.3380794864454001,0.5282701767821113,-19.019069033671123,CollegeStationTX,2100.154879482067,2804.2475219793596,0.0052529933684217255
17820,"Colorado Springs, CO Metro Area",686252,0.013427406466215087,0.8373405299313051,0.3975049450313428,0.5282701767821113,-13.076523175076849,ColoradoSpringsCO,2683.8567850507416,3092.478442303516,-0.001546181567774787
17900,"Columbia, SC Metro Area",800011,0.009658760686751781,0.9437704399198228,0.5065573762479145,0.5282701767821113,-2.1712800534196774,ColumbiaSC,3702.749811968241,1427.9709287113822,0.0010085453408598863
17980,"Columbus, GA-AL Metro Area",314342,0.014608586681885567,0.9447875725247987,0.543122014316936,0.5282701767821113,1.4851837534824663,ColumbusGA,1936.133712974732,1680.8458454736913,-0.010093987088472343
18140,"Columbus, OH Metro Area",1997308,0.011640792472122906,0.8080361257027003,0.5320751536506154,0.5282701767821113,0.38049768685041174,ColumbusOH,3967.2013696588556,3185.9723292442386,-0.006982445372207663
18580,"Corpus Christi, TX Metro Area",448351,0.011615055396122318,0.9750985309924758,0.4545873004965887,0.5282701767821113,-7.368287628552261,CorpusChristiTX,1784.0067764792732,3204.0482761745534,0.0017347933824850789
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",257209,0.02150899818333561,0,0.259689382578292,0.5282701767821113,-26.85807942038193,CrestviewFL,930.2470814536592,1952.0208742398597,-0.003909462700377715
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6958092,0.018854994701837807,0.9650710142413907,0.43557105657759376,0.5282701767821113,-9.269912020451754,DallasTX,8927.502144025379,3909.2824221037527,-0.00941485648926024
