City,State,Rank,VWCI,Req.,Reb.,PVI,Aridity,RPI,Pop.,Growth (%)
Akron,OH,131,12,3,1,4.48,24.9,45,705,0.061
Albany,NY,116,13,2,1,4.96,24.4,46.3,880,0.256
Albuquerque,NM,9,45,19,12,5.27,5.6,35.4,905,0.421
Allentown,PA,157,10,2,0,0.17,26.9,41.4,830,0.229
Amarillo,TX,77,17,6,2,-32.23,10.8,41,261,0.804
Ann Arbor,MI,169,8,2,0,16.65,20.9,43.7,357,0.816
Appleton,WI,185,6,2,0,-1.42,19.2,43.5,231,0.605
Asheville,NC,104,14,0,1,-2.72,23.3,36,442,0.941
Atlanta,GA,49,23,8,3,-1.84,24.8,41.8,5615,1.427
Atlantic City,NJ,90,15,6,0,5.23,24.8,37.3,275,0.067
Augusta,GA,57,21,8,2,-6.83,22.3,37.2,583,0.729
Austin,TX,7,47,19,11,2.61,16.8,43.7,1943,2.943
Bakersfield,CA,49,23,7,5,-11.65,2.9,34,874,0.947
Baltimore,MD,131,12,0,4,6.07,24.6,45.8,2787,0.648
Baton Rouge,LA,195,3,1,0,-9.57,28.9,41.7,825,0.65
Beaumont,TX,131,12,2,0,-12.94,27.6,40.5,406,0.12
Binghamton,NY,116,13,4,0,-1.46,25.4,36.9,247,-0.402
Boise,ID,116,13,2,3,-11.89,10.1,36.8,665,1.821
Boston,MA,62,20,5,2,9.06,28.2,53.6,4739,0.935
Boulder,CO,47,24,4,6,19.62,10.1,49.4,314,1.466
Bremerton,WA,131,12,4,0,3.32,23,40.8,255,0.277
Bridgeport,CT,131,12,2,2,4.43,27,75.4,946,0.699
Brownsville,TX,116,13,0,2,12.27,11.8,27.3,420,0.771
Buffalo,NY,131,12,4,0,4.34,26.9,42.9,1137,0.024
Canton,OH,90,15,2,4,-1.73,22.9,41.3,404,-0.027
Cape Coral,FL,57,21,6,2,-9.6,23.7,40.9,679,2.26
Cedar Rapids,IA,77,17,4,6,5.87,21.1,47.1,264,0.533
Champaign,IL,147,11,4,0,0.35,23,38.6,238,0.563
Charleston,SC,131,12,4,1,-4.52,23.5,39.5,727,2.134
Charleston,WV,169,8,2,0,-6.48,25.5,43.5,223,-0.453
Charlotte,NC,84,16,0,1,-4.52,22.6,41.7,2379,1.69
Charlottesville,VA,62,20,4,4,5.28,23.9,48,227,0.871
Chattanooga,TN,147,11,2,0,-14.71,33.2,39.9,544,0.698
Chicago,IL,104,14,4,1,13.54,20.8,44,9557,0.226
Chico,CA,68,19,2,6,-2.74,20,34,224,0.457
Cincinnati,OH,116,13,4,0,-10.21,25.2,47,2148,0.358
Clarksville,TN,182,7,1,0,-10.15,26.7,38.5,278,1.502
Cleveland,OH,77,17,4,1,9.71,24.9,48.5,2064,-0.14
College Station,TX,29,30,12,4,-19.02,18.9,33.4,243,1.424
Colorado Springs,CO,62,20,4,4,-13.08,9.2,38.8,686,1.343
Columbia,SC,116,13,2,1,-2.17,21.8,38.5,800,0.966
Columbus,GA,68,19,7,2,1.49,24.3,37.7,314,1.461
Columbus,OH,90,15,0,3,0.38,22.8,44.2,1997,1.164
Corpus Christi,TX,45,25,9,2,-7.37,13,41.3,448,1.162
Crestview,FL,157,10,0,0,-26.86,29.3,43.4,257,2.151
Dallas,TX,33,28,9,2,-9.27,17.9,45.4,6958,1.885
