coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-2.3374255849289622,0.004327481605821788,0.12305846348268501,-2.597424788565628,-2.417733758630048,-2.33269428649446,-2.2522476396804842,-2.1091119593107313,1.0066310910417726
phi,12.076702816213439,0.03941276307810565,2.4926820041480524,7.93337751265005,10.286805536336729,11.760815651900625,13.57695317441289,17.659888888740046,1.0016421285472097
gamma_PVI,1.1499154392763384,0.007310475269055315,0.29120553114160974,0.5583419147688681,0.9600108296796759,1.1530611812578964,1.3443859418866226,1.7055079004053364,1.003156871812155
gamma_RPI,-0.766606133645464,0.005016406416593004,0.28293801488160714,-1.3234425454313496,-0.9535639440700928,-0.7631748408546595,-0.573837651223708,-0.2193112542008685,1.0005972339226894
gamma_aridity,-0.7603491146190425,0.004569906408600246,0.24388533573503146,-1.241619224932342,-0.9217492896414696,-0.7652650535179384,-0.6023294787673854,-0.2675516576411362,1.0001177698560697
gamma_surface.water,-0.4056187248517009,0.004199576617306383,0.2656045463814693,-0.9223871956127807,-0.5816520485711251,-0.407605203569033,-0.2286982432259403,0.1144943018346111,0.9992819054040452
beta_PVI,0.46180723736903484,0.0029776154795194873,0.18832093822912063,0.09122969331302395,0.34039915279059385,0.4610152969296567,0.5847424295725867,0.8364056612800213,1.0000402861024513
beta_RPI,0.03406732848527878,0.0036086345507198897,0.1547088143571446,-0.27869741228954,-0.06831402448992016,0.03807604582660469,0.1359623544622512,0.33807990418842243,1.0003807449104856
beta_log.pop,0.34721336963864463,0.004676848943262456,0.16150538032738906,0.04400243553061671,0.23949215010769564,0.3457716777494877,0.454607214434922,0.6611362981309803,1.002534581217201
beta_pop.growth,0.567608345891429,0.0030888490206405564,0.19535596507209216,0.17403082953717847,0.4410691610352497,0.5685949023580544,0.6955649001547062,0.9428714877787631,1.001295273466313
beta_aridity,0.03765343805202929,0.006541926927949324,0.30480686068798807,-0.5505796995054707,-0.167611996336497,0.035452884473544624,0.2355741207326112,0.6525612923305381,1.0017674730438326
beta_surface.water,-0.07476949044954362,0.0017514746501119543,0.1010696986314291,-0.27123363983602644,-0.14145051285882104,-0.07565064854446238,-0.008603487068313622,0.12408052949350734,1.0001241667109895
delta_AL,-1.8035432730831131,0.08910892682888034,1.5939377436141715,-5.8155013376575875,-2.5756784484751645,-1.4677675070290441,-0.6258770059923574,0.2808664229385995,1.0151410197042523
delta_AR,0.03740053618572628,0.0046791196342537535,0.29593350977311766,-0.5555526703961152,-0.12120966087334469,0.021775478295317098,0.1937722889654287,0.6771576792258737,0.9999268936120125
delta_AZ,-0.09219658695567319,0.0043219502551711374,0.2733441348057343,-0.7062158264321123,-0.24884978882485959,-0.058967314051961275,0.07351334456207703,0.41449993511794037,1.0007384653789533
delta_CA,0.25548937870653093,0.013086988360526504,0.24442856907503932,-0.13175010268367085,0.06985638427725116,0.22320652423550832,0.40977751090972897,0.7981548270752573,1.0142720732846668
delta_CO,0.3392612104517997,0.019117585940984054,0.3196551506451595,-0.1338942281432955,0.0844947299390012,0.28890155238723536,0.5348584623144798,1.0773768838785565,1.0171356874669955
